RefID,Make,Model,Year,City mileage,Highway mileage,Minimum Price,Maximum Price
420,Honda,Pilot,2003,17,22,"7,275","9,925"
421,Ford,Aerostar,1993,15,20,"1,850","1,975"
422,Honda,Civic,2007,23,32,"9,075","15,300"
423,Saturn,SW10,1999,,,,
424,Hyundai,Elantra,2004,24,32,"5,050","5,675"
425,,,,,,,
426,Nissan,Maxima,1993,21,26,"1,325","21,110"
427,Toyota,Sienna,2009,16,21,"15,700","25,500"
428,Mazda,3,2009,,,,
429,Toyota,Prius,2009,48,45,"15,350","16,600"
430,,,,,,,
431,Kia,Sorento,2010,1.81818E+21,2.42424E+21,"18,650,117,001,065,000,000,000,000,000,000,000","2,600,014,550,140,000,000,000,000,000,000,000,000"
432,,,,,,,
433,Toyota,Camry,2003,21,29,"7,375","8,675"
434,Jaguar,S-type,2006,17,23,"9,050","15,300"
435,Toyota,Camry,2007,22,31,"12,200","16,450"
436,Toyota,Sienna,2000,18,24,"2,650","4,075"
437,Ford,Explorer Sport,2001,,,,
438,Honda,Civic,2003,26,30,"4,600","8,025"
439,Scion,XB,2011,22,28,"15,700","17,450"
440,Chevrolet,Cavalier,2000,22,29,"2,450","5,450"
441,Saturn,SL1,96,,,,
442,Ford,Fusion,2010,17,24,"13,350","17,650"
443,,,,,,,
444,Honda,Accord,1998,20,28,"2,900","4,425"
445,Hyundai,i20,2008,,,,
446,Ford,Bronco,1995,13,17,"4,575","18,630"
447,Acura,TL,2003,19,29,"6,600","7,325"
448,Hyundai,Accent,2009,26,33,"8,900","10,150"
449,Nissan,Sentra,3,,,,
450,Honda,Fit,2010,27,33,"13,650","15,400"
451,Ford,Explorer,2003,14,19,"4,550","6,750"
452,GMC,Yukon XL,2007,,,,
453,Ford,Taurus,2001,18,26,"3,400","4,525"
454,Cadillac,Deville,1987,,,,
455,BMW,F25,2010,,,,
456,Chevrolet,S10,2001,,,,
457,Ford,Mustang,2004,17,23,"6,100","21,300"
458,Honda,Civic,1986,,,,
459,Toyota,Camry,2009,19,28,"13,800","17,200"
460,Ford,Minivan,2001,,,,
461,Mazda,Tribute,2005,18,22,"4,975","7,150"
462,GMC,Jimmy,1986,,,,
463,Chevrolet,Camaro,1979,,,,
464,BMW,Z4,2003,20,28,"13,300","14,450"
465,Scion,XB,2006,30,33,"9,600","14,030"
466,Chevrolet,Malibu,2007,22,32,"15,995","19,995"
467,Mercedes,D200,1985,,,,
468,BMW,X3,2003,1.91919E+21,2.62625E+21,"325,002,910,025,000,000,000,000,000,000,000,000,000","3,600,025,000,171,000,000,000,000"
469,Porsche,Boxster,2003,17,26,"13,950","21,500"
470,Toyota,Corolla,2008,26,35,"10,800","11,700"
471,Chevrolet,Impala,2005,19,28,"6,550","9,525"
472,Dodge,Intrepid,2003,19,27,"4,000","5,350"
473,Oldsmobile,Cutlass,2000,202020,292929,"26,002,350","31,252,800"
474,,,,,,,
475,,,,,,,
476,Toyota,Camry Hybrid,2007,,,,
477,Ford,Fusion,1992,2.22217E+17,3.13125E+17,"1,380,013,350,120,000,000,000,000,000","184,001,765,015,450,000,000,000,000,000"
478,Chevrolet,Impala,2008,16,24,"11,400","15,700"
479,Chrysler,Concorde,2000,19,27,"3,500","4,425"
480,Saturn,SL,2000,29,40,,
481,Dodge,Grand Caravan,2004,,,,
482,Pontiac,Grand Prix,2002,,,,
483,,,,,,,
484,Cadillac,STS,2005,16,22,"10,750","19,100"
485,Mercury,Sable,1998,18,26,"2,900","3,675"
486,Toyota,RAV4,2003,,,"8,725","86,368"
487,Nissan,Sentra,2002,22,28,"4,425","5,775"
488,Honda,Accord,2004,20,30,"7,300","10,900"
489,Mitsubishi,Eclipse,2003,20,27,"18,167","19,177"
490,Toyota,Camry,2005,20,28,"9,200","12,300"
491,Saturn,SL1,2002,,,,
492,Toyota,Tacoma,1996,17,19,"6,500","8,550"
493,Saturn,SL,1997,26,37,,
494,Infiniti,Q45,2008,1.71717E+19,2.42325E+19,"143,501,270,010,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","127,001,365,013,650,000,000,000,000,000,000,000,000"
495,Honda,Civic,2000,30,35,"3,000","5,500"
496,Hyundai,Tiburon,2007,18,26,"8,450","11,750"
497,Toyota,Camry,2000,19,27,"3,800","4,275"
498,,,,,,,
499,Honda,Element,2010,19,24,"17,900","21,200"
500,Saturn,Ion,2003,24,32,"3,950","5,075"
501,Ford,Contour,1998,12,12,"13,460","14,645"
502,Hyundai,Elantra,2011,28,38,"14,750","17,000"
503,Toyota,Yaris,2007,34,39,"8,100","9,650"
504,Mitsubishi,Eclipse,2001,20,27,"17,987","18,797"
505,,,,,,,
506,Honda,Civic,2004,26,30,"5,900","9,200"
507,Nissan,Sentra,1998,23,31,"2,400","3,725"
508,Nissan,Altima,2008,19,26,"12,150","17,750"
509,Jeep,Liberty,2003,16,21,"6,225","7,125"
510,Ford,Expedition,2007,14,17,"16,200","20,800"
511,Kawasaki,Ninja 250,2007,,,,
512,Honda,Accord,2011,17,26,"16,400","20,100"
513,Honda,Civic,2000,30,35,"3,000","5,500"
514,Subaru,Legacy,1995,21,28,"2,200","4,125"
515,Toyota,Corolla,2006,26,34,"8,650","10,350"
516,Pontiac,Sunfire,2001,21,28,"3,550","4,150"
517,Jeep,Liberty,2005,17,22,"8,625","9,750"
518,Dodge,Neon,2002,24,31,"2,675","4,400"
519,Ford,Crown Victoria,2001,,,,
520,Acura,TL,2005,20,29,"13,250","13,650"
521,Toyota,Camry,2000,19,27,"3,800","4,275"
522,Toyota,Camry,2003,21,29,"7,375","8,675"
523,Ford,Taurus,1998,17,25,"2,900","4,975"
524,Ford,Windstar,2000,17,23,"3,125","4,850"
525,Dodge,Stratus,2000,19,27,"3,075","3,925"
526,Toyota,Camry,1998,19,27,"3,150","3,675"
527,Saturn,Ion,2007,24,32,"6,575","11,450"
528,Pontiac,Sunfire,2004,24,34,"5,300","10,895"
529,GMC,Sonoma SLS,2003,,,,
530,,,,,,,
531,Mercury,Capri,1991,,,,
532,Toyota,Corolla,1993,27,34,"2,825","3,300"
533,Dodge,Ram 1500,1999,,,,
534,Ford,Edge,2009,15,22,"15,500","22,900"
535,Mercury,Sable,2000,19,27,"3,325","4,175"
